jurisdiction,topic_key,topic_label,source_url,notes
Federal,minimum_wage,Minimum Wage,https://www.dol.gov/agencies/whd/minimum-wage,Minimum Wage – 
Federal,overtime,Overtime & Hours,https://www.dol.gov/agencies/whd/overtime,Overtime Pay – 
Federal,paid_sick_leave,Paid Sick Leave,https://www.dol.gov/agencies/whd/government-contracts/sick-leave,"Executive Order 13706, Establishing Paid Sick Leave for ... – "
Federal,family_medical_leave,Paid Family / Medical Leave (PFML),https://www.irs.gov/newsroom/irs-issues-guidance-for-the-district-of-columbia-and-states-that-have-paid-family-and-medical-leave-programs,IRS issues guidance for the District of Columbia and states ... – 
Federal,final_pay,Final Pay / Vacation Payout,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/fact-sheets/lump-sum-payments-for-annual-leave,Federal Employees - Lump-Sum Payments for Annual Leave – 
Federal,pay_frequency,Pay Frequency & Payday Timing,https://www.opm.gov/policy-data-oversight/pay-leave/pay-administration/,Pay Administration – 
Federal,harassment_training,Harassment Training,https://www.fema.gov/about/offices/professional-responsibility/anti-harassment,Anti-Harassment Program – 
Federal,posting_requirements,Posting Requirements,https://www.ecfr.gov/current/title-5/chapter-I/subchapter-B/part-330/subpart-A/section-330.104,5 CFR 330.104 -- Requirements for vacancy announcements. – 
Federal,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://www.eeoc.gov/employers/small-business/pregnancy-childbirth-or-related-medical-conditions-accommodations,"Pregnancy, Childbirth, or Related Medical Conditions Accommodations – "
Federal,meal_rest_breaks,Meal & Rest Breaks,https://www.opm.gov/policy-data-oversight/pay-leave/work-schedules/fact-sheets/lunch-or-other-meal-periods,Federal Employees - Lunch or Other Meal Period – 
Federal,jury_duty_leave,Jury Duty Leave,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/fact-sheets/court-leave/,Fact Sheet: Court Leave – 
Federal,bereavement_leave,Bereavement Leave,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/fact-sheets/leave-for-funerals-and-bereavement,Federal Employee Leave for Funerals and Bereavement – 
Federal,non_compete,Non-Compete Enforcement Rules,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-J/part-910,16 CFR Part 910 -- Non-Compete Clauses – 
Federal,background_checks,Background Check / Ban-the-Box,https://www.federalregister.gov/documents/2023/09/01/2023-18242/fair-chance-to-compete-for-jobs,Fair Chance To Compete for Jobs – 
Federal,mini_warn,Mini-WARN & Separation Notices,https://webapps.dol.gov/elaws/elg/layoffs.htm,Employment Law Guide - Notices for Plant Closings and Mass Layoffs – 
Federal,everify,E-Verify / Employment Verification,https://www.e-verify.gov/,E-Verify: Home – 
Federal,workers_comp,Workers’ Compensation Requirements,https://www.commerce.gov/hr/employees/health-and-safety/workers-compensation-resources,Workers’ Compensation Resources – 
Federal,prevailing_wage,Prevailing Wage Laws (public contracts),https://www.dol.gov/agencies/whd/government-contracts/prevailing-wage-resource-book,Prevailing Wage Resource Book – 
Federal,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.ecfr.gov/current/title-29/subtitle-B/chapter-V/subchapter-B/part-785/subpart-C/subject-group-ECFR3d1222debcd8ec6/section-785.18,29 CFR 785.18 -- Rest. – 
Federal,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.gao.gov/assets/890/880518.pdf,Generative AI Use and Management at Federal Agencies – 
Federal,right_to_work,Right-to-Work Laws (where applicable),https://webapps.dol.gov/elaws/elg/,Employment Law Guide – 
Federal,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.justice.gov/ovw/domestic-violence,Domestic Violence – 
Federal,voting_leave,Voting / Civic Leave,https://www.congress.gov/bill/117th-congress/house-bill/7489,H.R.7489 - 117th Congress (2021-2022): Time Off to Vote Act – 
Federal,workplace_safety,Workplace Safety Requirements (OSHA or state-level),http://www.osha.gov/stateplans,State Plans | Occupational Safety and Health Administration – 
Federal,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://www.employeefiduciary.com/blog/state-mandated-retirement,State-Mandated Retirement Plans: What Small Business Owners Need to Know – 
Alabama,minimum_wage,Minimum Wage,https://www.dol.gov/agencies/whd/minimum-wage/state,State Minimum Wage Laws – 
Alabama,overtime,Overtime & Hours,https://www.revenue.alabama.gov/individual-corporate/overtime-exemption,Overtime Exemption - Alabama Department of Revenue – 
Alabama,paid_sick_leave,Paid Sick Leave,https://personnel.alabama.gov/Downloads/SickLeaveAmendment.pdf,APA-1 - Alabama Personnel Department – 
Alabama,family_medical_leave,Paid Family / Medical Leave (PFML),https://agi.alabama.gov/wp-content/uploads/2023/01/NEW_FMLA_FAMILY_MEMBER_2022.pdf,EMPLOYEE - Alabama Department of Agriculture and Industries – 
Alabama,final_pay,Final Pay / Vacation Payout,https://admincode.legislature.state.al.us/api/chapter/670-X-13,Chapter 670-X-13 Annual Leave  (Vacation) – 
Alabama,pay_frequency,Pay Frequency & Payday Timing,https://comptroller.alabama.gov/online-forms/,Online Forms – Alabama Department of Finance – 
Alabama,harassment_training,Harassment Training,https://personnel.alabama.gov/Downloads/TrainPrograms.pdf,STATE PERSONNEL TRAINING – 
Alabama,posting_requirements,Posting Requirements,https://labor.alabama.gov/business/,Links for Employers - Alabama Department of Labor – 
Alabama,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://dhr.alabama.gov/wp-content/uploads/2021/05/Americans-with-Disabilities-Act-ADA-Section-504-and-Reasonable-Modification-Policy.pdf,Americans with Disabilities Act (ADA) Section 504 and Reasonable Modification Policy.docx – 
Alabama,meal_rest_breaks,Meal & Rest Breaks,https://www.dol.gov/general/topic/workhours/breaks,Breaks and Meal Periods – 
Alabama,jury_duty_leave,Jury Duty Leave,,"Error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
Alabama,bereavement_leave,Bereavement Leave,https://law.justia.com/codes/alabama/title-36/chapter-26/article-1/section-36-26-36-3/,2024 Code of Alabama :: Title 36 - Public Officers and Employees. :: Chapter 26 - State Personnel Department and Merit System. :: Article 1 - General Provisions. :: Section 36-26-36.3 - Bereavement Leave. – 
